Situation,Relationship-A,Relationship-B,Formality,Title,Wrong Titles,Completed Sentence
graduation ceremony,stranger,stranger,Formal,女士,"小姐姐 阿姨 妈妈","女士您今天气色真好"
casual chat,parent,kid,Informal,妈妈,"母亲 女士 先生","妈妈你要不要坐下喝杯茶"
in restaurant,vendor,customer,Informal,师傅,"先生 爸爸 小姐姐","师傅我想点一个宫保鸡丁"
public speech,stranger,stranger,Formal,先生,"师傅 爸爸 叔叔","先生请问火车站怎么走"
on the street,stranger,stranger,Informal,阿姨,"母亲 女士 妈妈","阿姨你需要帮忙吗"
in shop,vendor,customer,Informal,小姐姐,"女士 母亲 妈妈","小姐姐您需要帮忙吗"
wedding,parent,kid,Formal,父亲,"爸爸 师傅 叔叔","父亲您今天气色真好"
in the park,waiter,customer,Informal,叔叔,"先生 父亲 师傅","叔叔你今天气色真好"
in restaurant,waiter,customer,Formal,先生,"师傅 爸爸 叔叔","先生请问我可以点一杯茶吗"
casual chat,parent,kid,Informal,爸爸,"先生 父亲 叔叔","爸爸你要不要坐下喝杯茶"
graduation ceremony,stranger,stranger,Formal,先生,"师傅 爸爸 小姐姐","先生您需要帮忙吗"
in shop,vendor,customer,Formal,女士,"小姐姐 妈妈 阿姨","女士请问我可以点一杯茶吗"
on the street,stranger,stranger,Informal,师傅,"父亲 女士 先生","师傅你要不要坐下喝杯茶"
wedding,parent,kid,Formal,母亲,"妈妈 阿姨 小姐姐","母亲您今天 气色 真好"
in restaurant,vendor,customer,Informal,阿姨,"女士 母亲 小姐姐","阿姨你今天 气色 真好"
casual chat,stranger,stranger,Informal,叔叔,"先生 师傅 父亲","叔叔你需要帮忙吗"
public speech,stranger,stranger,Formal,女士,"小姐姐 妈妈 阿姨","女士请问 火车站 怎么 走"
in the park,parent,kid,Informal,妈妈,"母亲 女士 小姐姐","妈妈我想点一个宫保鸡丁"
in restaurant,waiter,customer,Formal,母亲,"妈妈 阿姨 小姐姐","母亲您要不要坐下喝杯茶"
in shop,vendor,customer,Informal,小姐姐,"女士 母亲 妈妈","小姐姐你今天气色真好"
